N,Categoria,Titulo,Mensaje,Variante_corta,Cuando_enviarlo
26,Respuestas a consultas iniciales,Responder horario de atención,"¡Hola! 😊 Atendemos de [días] de [hora] a [hora]. Aun así, déjame tu consulta cuando quieras y te respondo apenas pueda 🙌",¡Hola! 😊 Atendemos [días y horario]. Déjame tu consulta cuando quieras.,Cuando preguntan a qué hora atiendes o abres.
27,Respuestas a consultas iniciales,Responder formas de pago,¡Hola! 🙌 Puedes pagar con [transferencia / efectivo / tarjeta / link de pago] y también ofrecemos [cuotas si aplica]. ¿Cuál te acomoda más?,¡Hola! 🙌 Aceptamos [medios de pago]. ¿Cuál te acomoda?,Cuando preguntan cómo pueden pagar.
28,Respuestas a consultas iniciales,"Responder a quien ""solo está mirando""","¡Genial, mira con calma! 😊 Cualquier duda que tengas, aquí estoy. Y si quieres, te paso lo más pedido por si te sirve de referencia 🙌","¡Mira con calma! 😊 Cualquier duda, aquí estoy.","Cuando el cliente dice que solo está viendo, sin compromiso."
29,Respuestas a consultas iniciales,Responder una consulta técnica,¡Buena pregunta! 🙌 Sobre [aspecto técnico]: [respuesta clara y simple]. Si necesitas el detalle completo te lo paso. ¿Te sirve así?,¡Buena pregunta! 🙌 [Respuesta clara]. ¿Te sirve o quieres el detalle?,Cuando hacen una consulta específica o técnica del producto.
30,Respuestas a consultas iniciales,Recomendar según la necesidad,"Por lo que me cuentas, te recomendaría [producto], porque [razón ligada a su necesidad] 😊 Es la opción que más se ajusta a ti. ¿Te muestro?","Para lo que buscas, te recomiendo [producto] porque [razón] 😊 ¿Te muestro?",Cuando ya sabes qué necesita y quieres guiarlo a la mejor opción.
31,Mensajes para explicar precios,Precio con beneficio,¡Hola! 😊 El [producto] te queda en $[precio] e incluye [beneficio]. ¿Te lo aparto o tienes alguna duda antes?,El [producto] queda en $[precio] con [beneficio] 😊 ¿Te lo aparto?,Respuesta estándar cuando preguntan el precio de un producto.
32,Mensajes para explicar precios,Precio con opción de cuotas,"¡Hola! 🙌 El valor es $[precio], y si prefieres lo puedes dividir en [N] partes de $[monto]. ¿Cuál opción te acomoda más?","Son $[precio], o en [N] cuotas de $[monto] 🙌 ¿Cuál prefieres?",Cuando ofreces pago en cuotas y quieres facilitar la decisión.
33,Mensajes para explicar precios,Precio con valor agregado,"El [producto] está en $[precio] 😊 Y lo bueno es que incluye [extra: envío / garantía / asesoría], así que aprovechas más. ¿Te gustaría?",Son $[precio] e incluye [extra] 😊 ¿Te gustaría?,Cuando quieres resaltar todo lo que el cliente recibe por ese precio.
34,Mensajes para explicar precios,Precio de varias opciones / packs,"¡Hola! 🙌 Te dejo las opciones:
• [Opción 1]: $[precio]
• [Opción 2]: $[precio]
• Pack [3]: $[precio] (el más conveniente)
¿Cuál te llama más la atención?",Opciones: [1] $[precio] · [2] $[precio] · Pack $[precio] 🙌 ¿Cuál prefieres?,Cuando tienes varios productos o packs para mostrar.
35,Mensajes para explicar precios,"Responder ""¿cuánto cuesta?"" directo",¡Hola! 😊 El [producto] te queda en $[precio]. ¿Te cuento qué incluye o lo dejamos coordinado?,Te queda en $[precio] 😊 ¿Te cuento qué incluye?,Cuando preguntan el precio de forma directa y sin rodeos.
36,Mensajes para explicar precios,Precio con oferta vigente,"¡Buena noticia! 🙌 El [producto] normalmente está $[precio], pero esta semana lo tienes en $[precio oferta]. ¿Lo aprovechamos?",Esta semana el [producto] está en $[precio oferta] (antes $[precio]) 🙌 ¿Lo aprovechas?,Cuando hay un descuento por tiempo limitado y honesto.
37,Mensajes para explicar precios,Precio con envío incluido,"¡Hola! 😊 Son $[precio] con el envío ya incluido a [zona], así no tienes costos extra. ¿Te lo dejo agendado?",Son $[precio] con envío incluido 😊 ¿Te lo agendo?,Cuando el envío gratis es un argumento de valor.
38,Mensajes para explicar precios,Justificar el precio por calidad,Te entiendo 🙌 El valor es $[precio] porque [razón: material / durabilidad / atención personalizada]. Es una compra que te dura y vale la pena. ¿Te muestro por qué?,Son $[precio] por [razón de calidad]. Vale la pena 🙌 ¿Te muestro?,Cuando el cliente percibe el precio como alto y quieres mostrar el valor.
39,Mensajes para explicar precios,Precio comparando opciones,"Para que elijas tranquilo/a 😊: la opción [básica] está en $[precio] y la [completa] en $[precio], que incluye [extra]. La mayoría prefiere la [completa]. ¿Cuál te acomoda?",[Básica] $[precio] o [completa] $[precio] con [extra] 😊 ¿Cuál te acomoda?,Cuando quieres ayudar al cliente a comparar y decidir.
40,Mensajes para explicar precios,Precio con descuento por cantidad,"¡Hola! 🙌 La unidad está en $[precio], pero si llevas [N] te queda en $[precio] cada una. ¿Quieres aprovechar el precio por cantidad?",1 unidad $[precio]; desde [N] queda en $[precio] c/u 🙌 ¿Aprovechas?,Cuando ofreces mejor precio por volumen.
41,Mensajes para explicar precios,Calificar antes de dar el precio,"¡Con gusto te paso el precio! 😊 Para darte el valor exacto, cuéntame [cantidad / modelo / zona]. Así te cotizo bien y sin sorpresas 🙌",¡Con gusto! 😊 ¿Me dices [cantidad/modelo]? Y te paso el precio exacto.,Cuando el precio depende de detalles que aún no conoces.
42,Mensajes para explicar precios,Precio con garantía,"El [producto] está en $[precio] e incluye [garantía], así compras con respaldo y total tranquilidad 😊 ¿Te lo preparo?",Son $[precio] con [garantía] incluida 😊 ¿Te lo preparo?,Cuando la garantía respalda el precio y da confianza.
43,Mensajes para explicar precios,Precio de un servicio / por sesión,¡Hola! 🙌 El [servicio] tiene un valor de $[precio] por [sesión/mes/proyecto] e incluye [qué incluye]. ¿Te gustaría agendar o resolver alguna duda?,El [servicio] está en $[precio] por [unidad] e incluye [qué incluye] 🙌 ¿Agendamos?,Cuando vendes servicios y no productos físicos.
44,Mensajes para explicar precios,Precio con link de pago / financiamiento,¡Hola! 😊 Son $[precio] y puedes pagar fácil con [link de pago / financiamiento en N cuotas]. Te lo dejo listo para cuando quieras. ¿Avanzamos?,"Son $[precio], con pago fácil por [link/cuotas] 😊 ¿Avanzamos?",Cuando ofreces medios de pago digitales o financiamiento.
45,Mensajes para explicar precios,Precio + invitación a decidir,"El [producto] te queda en $[precio] 😊 Si te parece bien, lo dejamos coordinado y te lo aseguro. ¿Lo confirmamos?",Son $[precio] 😊 ¿Lo confirmamos y te lo aseguro?,Cuando el cliente ya está interesado y quieres avanzar al cierre.
46,Mensajes para hacer seguimiento,Seguimiento el mismo día,¡Hola [nombre]! 😊 Te dejo resumido lo que conversamos: [producto] en $[precio] con [beneficio]. Quedo atento/a para dejarlo coordinado cuando quieras 🙌,¡Hola [nombre]! 😊 Resumo: [producto] en $[precio]. Quedo atento/a 🙌,"El mismo día de la consulta, para dejar todo claro y abierto."
47,Mensajes para hacer seguimiento,Seguimiento al día siguiente,¡Hola [nombre]! 😊 ¿Pudiste pensar lo del [producto]? Sigue disponible y feliz de resolver cualquier duda que te haya quedado 🙌,"¡Hola [nombre]! 😊 ¿Pudiste verlo? Sigue disponible, cualquier duda aquí estoy.","1 o 2 días después, cuando no hubo respuesta tras la primera charla."
48,Mensajes para hacer seguimiento,Seguimiento con apartado,¡Hola [nombre]! 🙌 Te aparté una unidad del [producto] por si todavía la querías. Te la guardo hasta [día]. ¿La dejamos lista?,¡Hola [nombre]! 🙌 Te aparté el [producto] hasta [día]. ¿Lo dejamos listo?,Cuando quieres dar un motivo amable para que el cliente decida.
49,Mensajes para hacer seguimiento,Seguimiento con novedad de stock,¡Hola [nombre]! 😊 Me llegó justo el [producto/variante] que estabas buscando. Te dejo foto por si todavía te interesa 👇,¡Hola [nombre]! 😊 Llegó el [producto] que buscabas. ¿Te muestro?,Cuando reapareció o llegó algo que el cliente pidió antes.
50,Mensajes para hacer seguimiento,Seguimiento con oferta,¡Hola [nombre]! 🙌 Me acordé de ti porque esta semana tengo [oferta] en [producto]. Quería avisarte por si quieres aprovecharlo 😊,¡Hola [nombre]! 🙌 Esta semana hay [oferta] en [producto]. ¿La aprovechamos?,Cuando tienes una promoción que puede destrabar la decisión.
51,Mensajes para hacer seguimiento,Seguimiento tras enviar el precio,¡Hola [nombre]! 😊 ¿Te hizo sentido el valor que te pasé? Si quieres lo vemos con calma o ajustamos algo. Estoy para ayudarte 🙌,¡Hola [nombre]! 😊 ¿Te hizo sentido el precio? Lo vemos con calma.,Cuando enviaste un precio y el cliente quedó en silencio.
52,Mensajes para hacer seguimiento,"Seguimiento amable ""¿pudiste ver?""","¡Hola [nombre]! 😊 Solo paso a saludar y saber si pudiste revisar lo que te envié. Sin apuro, cuando puedas me cuentas 🙌",¡Hola [nombre]! 😊 ¿Pudiste revisar lo que te envié? Sin apuro.,Para retomar con suavidad sin presionar.
53,Mensajes para hacer seguimiento,Seguimiento con info extra,"¡Hola [nombre]! 🙌 Te comparto [foto/video/dato extra] del [producto] que creo te puede ayudar a decidir. Cualquier duda, aquí estoy 😊",¡Hola [nombre]! 🙌 Te dejo [info extra] del [producto] por si te ayuda a decidir.,Cuando puedes aportar contenido útil que sume valor.
54,Mensajes para hacer seguimiento,Seguimiento recordando el beneficio,¡Hola [nombre]! 😊 Recordaba que buscabas [necesidad]. El [producto] justo resuelve eso porque [beneficio]. ¿Lo retomamos?,¡Hola [nombre]! 😊 El [producto] resuelve lo que buscabas: [beneficio]. ¿Lo retomamos?,Cuando quieres reconectar la oferta con el problema del cliente.
55,Mensajes para hacer seguimiento,Seguimiento por fin de promoción,¡Hola [nombre]! 🙌 Te aviso que la promo de [producto] termina [día]. No quería que la perdieras por no avisarte. ¿La aprovechamos?,¡Hola [nombre]! 🙌 La promo termina [día]. ¿La aprovechamos antes?,Cuando una oferta real está por terminar (sin inventar urgencia).
56,Mensajes para hacer seguimiento,Seguimiento preguntando la duda,¡Hola [nombre]! 😊 ¿Hubo algo que te generó duda? Cuéntame con confianza y lo aclaramos. Prefiero que decidas tranquilo/a 🙌,¡Hola [nombre]! 😊 ¿Quedó alguna duda? Cuéntame y la aclaramos.,Cuando sospechas que una duda sin resolver frenó al cliente.
57,Mensajes para hacer seguimiento,Seguimiento ofreciendo ayuda,"¡Hola [nombre]! 🙌 Quedo a tu disposición por si necesitas que te ayude a elegir o coordinar algo. Sin compromiso, cuando gustes 😊",¡Hola [nombre]! 🙌 Aquí estoy si necesitas ayuda para decidir.,Para mantener la puerta abierta de forma servicial.
58,Mensajes para hacer seguimiento,Seguimiento con testimonio / reseña,¡Hola [nombre]! 😊 Te comparto lo que opinó [otro cliente] sobre el [producto] 👇 por si te sirve para decidir con más confianza 🙌,¡Hola [nombre]! 😊 Mira lo que opinó otro cliente del [producto] 👇,Cuando una reseña real puede dar el empujón de confianza.
59,Mensajes para hacer seguimiento,Seguimiento por última unidad,"¡Hola [nombre]! 🙌 Me queda la última unidad del [producto] que viste. Si todavía la quieres, te la aparto hoy para que no la pierdas 😊",¡Hola [nombre]! 🙌 Queda la última unidad. ¿Te la aparto hoy?,Cuando el stock es real y bajo (nunca lo inventes).
60,Mensajes para hacer seguimiento,Seguimiento de cierre de ciclo,"¡Hola [nombre]! 😊 No quiero llenarte de mensajes. Si más adelante necesitas el [producto], aquí estaré con gusto. ¡Que tengas una linda semana! 🙌","¡Hola [nombre]! 😊 Si más adelante lo necesitas, aquí estoy. ¡Linda semana!",Como último mensaje amable tras varios intentos sin respuesta.
61,Clientes que dejaron de responder,Recordatorio suave,"¡Hola [nombre]! 😊 Pasaba a retomar nuestra conversación sobre el [producto]. Sin apuro, cuando puedas me cuentas cómo seguimos 🙌",¡Hola [nombre]! 😊 Retomo lo del [producto]. ¿Cómo seguimos?,Primer intento tras unos días de silencio.
62,Clientes que dejaron de responder,Con valor: sigue disponible,¡Hola [nombre]! 🙌 Solo para contarte que el [producto] sigue disponible por si todavía lo quieres. Te lo puedo dejar apartado 😊,¡Hola [nombre]! 🙌 El [producto] sigue disponible. ¿Te lo aparto?,Cuando quieres reabrir con un motivo concreto.
63,Clientes que dejaron de responder,Pregunta abierta,¡Hola [nombre]! 😊 ¿Cómo vas con la decisión del [producto]? Cuéntame si quieres avanzar o si prefieres que lo dejemos para más adelante 🙌,¡Hola [nombre]! 😊 ¿Cómo vas con el [producto]? Avanzamos o lo dejamos para después.,Para invitar a responder dando opciones cómodas.
64,Clientes que dejaron de responder,Ofreciendo resolver una duda,"¡Hola [nombre]! 🙌 Quizás quedó alguna duda dando vueltas. Si me cuentas qué te frena, lo resolvemos juntos. Sin compromiso 😊","¡Hola [nombre]! 🙌 ¿Quedó alguna duda? La resolvemos juntos, sin compromiso.",Cuando crees que una duda sin aclarar detuvo al cliente.
65,Clientes que dejaron de responder,Tono cercano y ligero,¡Hola [nombre]! 😊 No quería dejarte en visto sin querer 😅 Aquí sigo por si quieres retomar lo del [producto]. ¿Cómo estás?,¡Hola [nombre]! 😊 Aquí sigo por si quieres retomar lo del [producto] 🙌,"Con clientes de trato cercano, para romper el hielo con simpatía."
66,Clientes que dejaron de responder,Con una novedad,¡Hola [nombre]! 🙌 Tengo una novedad sobre el [producto]: [nuevo color / mejor precio / nuevo stock]. Me acordé de ti y quise avisarte 😊,¡Hola [nombre]! 🙌 Novedad del [producto]: [novedad]. Me acordé de ti 😊,Cuando hay algo nuevo que justifica volver a escribir.
67,Clientes que dejaron de responder,Reabrir con una oferta,¡Hola [nombre]! 😊 Quería avisarte que tengo [oferta] en el [producto] que viste. Quizás es el momento ideal para aprovecharlo 🙌,¡Hola [nombre]! 😊 Hay [oferta] en el [producto] que viste. ¿La aprovechas?,Cuando una promoción puede reactivar el interés.
68,Clientes que dejaron de responder,"""¿Mal momento?""",¡Hola [nombre]! 😊 ¿Te pillé en mal momento la otra vez? Sin problema. Cuando tengas un ratito retomamos lo del [producto] con calma 🙌,"¡Hola [nombre]! 😊 ¿Fue mal momento? Retomamos cuando puedas, sin apuro.",Para quitar presión y mostrar empatía con el silencio.
69,Clientes que dejaron de responder,Dar espacio (penúltimo intento),"¡Hola [nombre]! 😊 No quiero insistir de más. Si por ahora no es el momento, lo entiendo perfecto. Solo dime y lo dejamos para cuando estés listo/a 🙌","¡Hola [nombre]! 😊 Si no es el momento, lo entiendo. Tú me dices cuándo.",Cuando ya hubo varios intentos y quieres mostrar respeto.
70,Clientes que dejaron de responder,Cierre respetuoso del ciclo,"¡Hola [nombre]! 🙌 Será este mi último mensaje para no abrumarte. Fue un gusto. Si en el futuro necesitas el [producto], aquí estaré con gusto 😊","¡Hola [nombre]! 🙌 No te escribo más para no abrumar. Si me necesitas, aquí estoy 😊","Último mensaje del ciclo, dejando una buena impresión."
71,Respuestas a objeciones comunes,"""Está muy caro""","Te entiendo 🙌 Lo bueno es que el [producto] [beneficio: te dura / te ahorra / incluye X], así que rinde más de lo que parece. Y si ayuda, lo dividimos en [N] pagos. ¿Te sirve así?","Te entiendo 🙌 Rinde más de lo que parece, y lo puedo dividir en [N] pagos. ¿Te sirve?",Cuando el cliente siente que el precio es alto.
72,Respuestas a objeciones comunes,"""Lo tengo que pensar""","¡Claro, tómate tu tiempo! 😊 Solo para ayudarte: ¿hay algo puntual que te genere duda? Así te lo aclaro y decides con total tranquilidad 🙌","¡Claro, tómate tu tiempo! 😊 ¿Hay alguna duda puntual que te aclare?",Cuando el cliente pide tiempo para decidir.
73,Respuestas a objeciones comunes,"""Lo vi más barato en otro lado""",Puede ser 🙌 Lo que incluyo yo es [garantía / atención directa / envío seguro] y respondo siempre que me necesites. Esa tranquilidad también cuenta. ¿Lo prefieres con ese respaldo?,Puede ser 🙌 Conmigo tienes [respaldo/garantía/atención]. ¿Lo prefieres así?,Cuando comparan tu precio con el de la competencia.
74,Respuestas a objeciones comunes,"""Ahora no tengo plata""","¡Sin problema, te entiendo! 😊 ¿Quieres que te lo aparte para [fecha] o te aviso cuando tenga una promo? Así no lo pierdes cuando estés listo/a 🙌",¡Te entiendo! 😊 ¿Te lo aparto para [fecha] o te aviso cuando haya promo?,Cuando el tema es presupuesto o momento económico.
75,Respuestas a objeciones comunes,"""No estoy seguro si me servirá""",¡Buena duda! 🙌 Cuéntame para qué lo necesitas y te digo con honestidad si es lo ideal para ti. Prefiero que quedes contento/a antes que venderte algo que no te sirva 😊,¡Buena duda! 🙌 Cuéntame para qué lo quieres y te digo con honestidad si te sirve.,Cuando el cliente no está seguro de que el producto le sirva.
76,Respuestas a objeciones comunes,"""Tengo que consultarlo""","¡Perfecto, me parece bien! 😊 Para que lo conversen con la info clara, te dejo un resumen: [producto], [precio], [beneficio]. Cualquier duda que surja, aquí estoy 🙌","¡Me parece bien! 😊 Te dejo el resumen para que lo conversen: [producto, precio, beneficio].","Cuando debe consultarlo con su pareja, socio o familia."
77,Respuestas a objeciones comunes,"""Me da desconfianza comprar online""",¡Te entiendo perfecto! 🙌 Para tu tranquilidad: [forma de pago seguro / contra entrega / reseñas / garantía]. Quiero que compres seguro/a. ¿Te muestro?,¡Te entiendo! 🙌 Para tu tranquilidad tienes [pago seguro/garantía/reseñas]. ¿Te muestro?,Cuando el cliente teme comprar por internet.
78,Respuestas a objeciones comunes,"""¿Y si no me gusta?""","¡Muy válido! 😊 Tenemos [cambio / garantía / política de devolución], así que compras tranquilo/a. La idea es que quedes feliz con tu [producto] 🙌","¡Muy válido! 😊 Tienes [cambio/garantía], compras tranquilo/a.",Cuando teme arrepentirse de la compra.
79,Respuestas a objeciones comunes,"""No es buen momento""",¡Lo entiendo! 😊 No hay apuro. ¿Quieres que te escriba más adelante o prefieres que te avise si sale alguna promo del [producto]? Tú me dices 🙌,¡Lo entiendo! 😊 ¿Te escribo más adelante o te aviso si hay promo?,Cuando el cliente dice que no es el momento adecuado.
80,Respuestas a objeciones comunes,"""Déjame ver y te aviso""","¡Perfecto! 😊 Quedo atento/a. Para no perder el contacto, ¿te parece si te escribo el [día] por si decidiste? Sin compromiso, solo para acompañarte 🙌",¡Perfecto! 😊 ¿Te escribo el [día] para saber cómo vas? Sin compromiso.,Cuando el cliente queda en avisarte (y quieres asegurar el seguimiento).
81,Mensajes de cierre de venta,Cierre directo,"¡Perfecto! 🙌 Entonces te confirmo el [producto] en $[precio]. Te paso los datos para coordinar el pago, ¿te parece?",¡Perfecto! 🙌 Te confirmo el [producto] en $[precio]. ¿Coordinamos el pago?,Cuando el cliente ya está decidido (etapa caliente).
82,Mensajes de cierre de venta,Cierre con opciones,¡Genial! 😊 ¿Lo prefieres con envío a domicilio o pasas a retirarlo? Así te lo voy dejando listo 🙌,¡Genial! 😊 ¿Con envío o lo retiras? Así te lo dejo listo.,Para facilitar la decisión ofreciendo elegir entre A o B.
83,Mensajes de cierre de venta,Cierre con urgencia honesta,¡Buena elección! 🙌 Me queda la última unidad / la promo termina hoy. Si quieres te la aseguro ahora para que no la pierdas 😊,¡Buena elección! 🙌 Queda poco / la promo termina hoy. ¿Te la aseguro?,Cuando hay una razón real de tiempo o stock (nunca inventada).
84,Mensajes de cierre de venta,Cierre tras resolver la duda,"¡Listo, espero haber aclarado tu duda! 😊 Si te parece bien, lo dejamos confirmado y coordinamos el pago. ¿Avanzamos?",¡Espero haber aclarado tu duda! 😊 ¿Lo dejamos confirmado?,Justo después de responder una objeción o consulta final.
85,Mensajes de cierre de venta,Cierre con beneficio extra,"¡Perfecto! 🙌 Y si lo confirmamos hoy, te incluyo [beneficio extra: envío gratis / pequeño regalo / descuento]. ¿Lo dejamos listo?",¡Perfecto! 🙌 Si lo confirmas hoy te incluyo [extra]. ¿Lo dejamos listo?,Cuando un pequeño incentivo puede inclinar la decisión.
86,Mensajes de cierre de venta,Cierre asumiendo la venta,¡Excelente elección! 😊 Te voy preparando el [producto]. ¿A nombre de quién lo dejo y a qué dirección lo enviamos?,¡Excelente! 😊 Te lo voy preparando. ¿A nombre de quién y a qué dirección?,Cuando el cliente mostró señales claras de querer comprar.
